gameID,ID,winner_name,runnerUp_name,winner_ID,runnerUp_ID,game_HS_Month,game_EB_Month,game_HS_Year,game_EB_Year,game_HS_Day,game_EB_Day,game_Season,game_Element,game_kin_tone,game_kin_seal,game_guide_seal,game_guide_tone,game_analogue_seal,game_analogue_tone,game_antipode_seal,game_antipode_tone,game_occult_seal,game_occult_tone,game_tribe,game_sun,winner_HS_Month,winner_EB_Month,winner_HS_Year,winner_EB_Year,winner_HS_Day,winner_EB_Day,winner_Season,winner_Element,winner_kin_tone,winner_kin_seal,winner_guide_seal,winner_guide_tone,winner_analogue_seal,winner_analogue_tone,winner_antipode_seal,winner_antipode_tone,winner_occult_seal,winner_occult_tone,winner_tribe,winner_sun,runner_up_HS_Month,runner_up_EB_Month,runner_up_HS_Year,runner_up_EB_Year,runner_up_Season,runner_up_EB_Day,runner_up_Element,runner_up_kin_tone,runner_up_kin_seal,runner_up_guide_seal,runner_up_guide_tone,runner_up_analogue_seal,runner_up_analogue_tone,runner_up_antipode_seal,runner_up_antipode_tone,runner_up_occult_seal,runner_up_occult_tone,runner_up_tribe,runner_up_sun
"1968-05-27-Roland Garros-Ken Rosewall-Rod Laver",56,"Ken Rosewall","Rod Laver",1,10,"yin fire","yin fire","yang earth","yang metal","yin fire","yin metal","Early Summer",neutral,resonant,storm,monkey,resonant,sun,resonant,moon,resonant,wind,resonant,yellow,"Gem 06 14 31","yang wood","yang earth","yang wood","yang earth","yin fire","yin earth","Late Autumn",earth,lunar,star,sun,lunar,monkey,lunar,mirror,lunar,skyWalker,crystal,blue,"Sco 09 22 50","yang metal","yang metal","yang earth","yang wood","yin water","yin metal","Early Autumn",eagle,crystal,warrior,crystal,skyWalker,crystal,skyWalker,crystal,mirror,lunar,yellow,"Leo 16 13 47"
"1969-05-28-Roland Garros-Rod Laver-Ken Rosewall",55,"Rod Laver","Ken Rosewall",10,1,"yin earth","yin fire","yin earth","yin metal","yin water","yin wood","Early Summer",neutral,solar,snake,dragon,solar,wizard,solar,eagle,solar,warrior,overtone,white,"Gem 06 58 14","yang metal","yang metal","yang earth","yang wood","yin water","yin metal","Early Autumn",metal,crystal,night,eagle,crystal,warrior,crystal,skyWalker,crystal,mirror,lunar,yellow,"Leo 16 13 47","yang wood","yang earth","yang wood","yang earth","yin fire","yin earth","Late Autumn",sun,lunar,monkey,lunar,mirror,lunar,mirror,lunar,skyWalker,crystal,blue,"Sco 09 22 50"
"1970-05-01-Roland Garros-Jan Kodes-Zeljko Franulovic",54,"Jan Kodes","Zeljko Franulovic",51,68,"yang metal","yang earth","yang metal","yang earth","yin metal","yin fire","Late Spring",earth,solar,night,storm,solar,warrior,solar,skyWalker,solar,mirror,overtone,yellow,"Tau 10 41 39","yang metal","yang wood","yang fire","yang earth","yang wood","yang earth","Early Spring",earth,lunar,wind,wizard,lunar,earth,lunar,human,lunar,storm,crystal,red,"Pis 10 18 15","yang fire","yang fire","yin fire","yin water","yin water","yin water","Mid Summer",eagle,electric,star,electric,dragon,electric,dragon,electric,dog,spectral,yellow,"Gem 21 37 53"
"1971-05-21-Roland Garros-Jan Kodes-Ilie Nastase",53,"Jan Kodes","Ilie Nastase",51,56,"yin water","yin fire","yin metal","yin water","yang fire","yang fire","Early Summer",fire,selfexisting,star,seed,selfexistin,monkey,selfexistin,mirror,selfexistin,skyWalker,planetary,blue,"Tau 29 47 22","yang metal","yang wood","yang fire","yang earth","yang wood","yang earth","Early Spring",earth,lunar,wind,wizard,lunar,earth,lunar,human,lunar,storm,crystal,red,"Pis 10 18 15","yin wood","yin earth","yang fire","yang earth","yang wood","yang fire","Late Summer",wizard,crystal,earth,crystal,human,crystal,human,crystal,storm,lunar,red,"Can 26 11 48"
"1972-05-22-Roland Garros-Andres Gimeno-Patrick Proisy",52,"Andres Gimeno","Patrick Proisy",7,82,"yin wood","yin fire","yang water","yang water","yin water","yin earth","Early Summer",water,rhythmic,wizard,wizard,rhythmic,snake,rhythmic,seed,rhythmic,hand,galactic,red,"Gem 01 28 57","yin fire","yin earth","yin fire","yin earth","yang water","yang earth","Late Summer",earth,overtone,human,sun,overtone,hand,overtone,wind,overtone,moon,solar,blue,"Leo 10 42 37","yin water","yin metal","yin earth","yin earth","yin water","yin wood","Mid Autumn",wizard,electric,moon,electric,sun,electric,sun,electric,monkey,spectral,red,"Vir 17 25 56"
"1973-05-21-Roland Garros-Ilie Nastase-Nikola Pilic",51,"Ilie Nastase","Nikola Pilic",56,15,"yin fire","yin fire","yin water","yin earth","yin fire","yin fire","Early Summer",fire,rhythmic,mirror,mirror,rhythmic,dragon,rhythmic,star,rhythmic,night,galactic,red,"Gem 00 17 04","yin wood","yin earth","yang fire","yang earth","yang wood","yang fire","Late Summer",earth,crystal,wind,wizard,crystal,earth,crystal,human,crystal,storm,lunar,red,"Can 26 11 48","yang water","yang metal","yin earth","yin wood","yang fire","yang metal","Early Autumn",wizard,overtone,skyWalker,overtone,warrior,overtone,warrior,overtone,eagle,solar,red,"Vir 03 18 54"
"1974-06-03-Roland Garros-Bjorn Borg-Manuel Orantes",50,"Bjorn Borg","Manuel Orantes",152,76,"yin earth","yin fire","yang wood","yang wood","yin wood","yin water","Early Summer",wood,resonant,warrior,star,resonant,night,resonant,worldBridge,resonant,snake,resonant,blue,"Gem 12 31 59","yang wood","yang fire","yang fire","yang metal","yang wood","yang earth","Mid Summer",fire,overtone,moon,earth,overtone,dog,overtone,storm,overtone,human,solar,white,"Gem 15 44 02","yang fire","yang wood","yin earth","yin earth","yin fire","yin wood","Early Spring",mirror,galactic,snake,galactic,seed,galactic,seed,galactic,hand,rhythmic,red,"Aqu 17 23 29"
"1975-06-04-Roland Garros-Bjorn Borg-Guillermo Vilas",49,"Bjorn Borg","Guillermo Vilas",152,111,"yin metal","yin fire","yin wood","yin wood","yin metal","yin fire","Early Summer",fire,solar,wind,mirror,solar,earth,solar,human,solar,storm,overtone,red,"Gem 13 15 23","yang wood","yang fire","yang fire","yang metal","yang wood","yang earth","Mid Summer",fire,overtone,moon,earth,overtone,dog,overtone,storm,overtone,human,solar,white,"Gem 15 44 02","yang earth","yang metal","yang water","yang earth","yin wood","yin earth","Early Autumn",snake,galactic,mirror,galactic,monkey,galactic,monkey,galactic,sun,rhythmic,white,"Leo 24 29 59"
"1976-05-31-Roland Garros-Adriano Panatta-Harold Solomon",48,"Adriano Panatta","Harold Solomon",88,114,"yin water","yin fire","yang fire","yang earth","yin water","yin earth","Early Summer",earth,rhythmic,night,night,rhythmic,warrior,rhythmic,skyWalker,rhythmic,mirror,galactic,yellow,"Gem 10 08 59","yin water","yin earth","yang metal","yang wood","yin wood","yin fire","Late Summer",wood,rhythmic,human,human,rhythmic,hand,rhythmic,wind,rhythmic,moon,galactic,blue,"Can 16 41 58","yin earth","yin metal","yang water","yang earth","yang fire","yang wood","Mid Autumn",warrior,cosmic,hand,cosmic,wind,cosmic,wind,cosmic,moon,magnetic,blue,"Vir 24 31 26"
"1977-05-23-Roland Garros-Guillermo Vilas-Brian Gottfried",47,"Guillermo Vilas","Brian Gottfried",111,105,"yin wood","yin fire","yin fire","yin fire","yang metal","yang earth","Early Summer",fire,crystal,sun,human,crystal,storm,crystal,dog,crystal,dragon,lunar,blue,"Gem 02 14 05","yang earth","yang metal","yang water","yang earth","yin wood","yin earth","Early Autumn",earth,galactic,dragon,snake,galactic,mirror,galactic,monkey,galactic,sun,rhythmic,white,"Leo 24 29 59","yin metal","yin earth","yin metal","yin wood","yang water","yang metal","Late Winter",storm,magnetic,sun,magnetic,moon,magnetic,moon,magnetic,wind,cosmic,yellow,"Aqu 06 30 04"
"1978-05-29-Roland Garros-Bjorn Borg-Guillermo Vilas",46,"Bjorn Borg","Guillermo Vilas",152,111,"yin fire","yin fire","yang earth","yang fire","yin metal","yin wood","Early Summer",fire,rhythmic,monkey,monkey,rhythmic,star,rhythmic,dragon,rhythmic,dog,galactic,yellow,"Gem 07 45 25","yang wood","yang fire","yang fire","yang metal","yang wood","yang earth","Mid Summer",fire,overtone,moon,earth,overtone,dog,overtone,storm,overtone,human,solar,white,"Gem 15 44 02","yang earth","yang metal","yang water","yang earth","yin wood","yin earth","Early Autumn",snake,galactic,mirror,galactic,monkey,galactic,monkey,galactic,sun,rhythmic,white,"Leo 24 29 59"
"1979-05-28-Roland Garros-Bjorn Borg-Victor Pecci",45,"Bjorn Borg","Victor Pecci",152,142,"yin earth","yin fire","yin earth","yin earth","yin wood","yin earth","Early Summer",earth,rhythmic,eagle,eagle,rhythmic,seed,rhythmic,snake,rhythmic,worldBridge,galactic,yellow,"Gem 06 34 17","yang wood","yang fire","yang fire","yang metal","yang wood","yang earth","Mid Summer",fire,overtone,moon,earth,overtone,dog,overtone,storm,overtone,human,solar,white,"Gem 15 44 02","yang fire","yang earth","yin wood","yin earth","yin earth","yin metal","Late Autumn",night,overtone,seed,overtone,snake,overtone,snake,overtone,worldBridge,solar,yellow,"Lib 21 21 22"
